Word,chr,value
dlzmtpnp,8,121
dicl,4,28
tskfcwwad,9,110
awfecmgr,8,76
iratzwwv,8,142
eibapxcc,8,63
mtwvnvxxa,9,163
vjsfqr,6,92
camb,4,19
esko,4,50
exlcj,5,54
xuxcg,5,79
wdqzbw,6,95
cxiqkzoitw,10,157
jczhfatl,8,86
cvljk,5,58
hee,3,18
savoofb,7,80
xfmyd,5,72
jrkwoeq,7,99
qrcbapuf,8,84
ndfqjfwphp,10,120
qniakpfp,8,90
cuk,3,35
xnjz,4,74
yzevkeu,7,115
eqblsg,6,62
glmdgcnjs,9,89
jvphbh,6,66
gnvhifttsr,10,143
paeulqsb,8,93
liybrcoz,8,110
bubhhycz,8,95
uydeaktxl,9,123
rhomk,5,65
dxktex,6,88
egt,3,32
ekcuodmuq,9,110
ttz,3,66
cawch,5,38
veniozoci,9,118
meermkcex,9,97
piamcu,6,63
pien,4,44
jdafcbwkaq,10,78
bdk,3,17
wsh,3,50
zvv,3,70
ddsjbcf,7,48
lyxu,4,82
keumhtn,7,92
zpx,3,66
fjah,4,25
rxzgkuz,7,133
doiqotdze,9,115
doo,3,34
ezsmptxj,8,133
fkumi,5,60
svdjtndhsa,10,121
opxncrd,7,94
ysppcyqtx,9,165
tcikoquy,8,121
oip,3,40
hagmri,6,56
cattkko,7,81
mfz,3,45
vkxcyaw,7,109
rvgu,4,68
qhf,3,31
dwkgldyb,8,88
ylzubiulm,9,141
jnqqtzf,7,110
hthhbimg,8,75
tfibbniygv,10,116
kkssshwcbe,10,120
rhxyp,5,91
xqgfa,5,55
wdtg,4,54
licfom,6,58
vivzrtmwp,9,169
etth,4,53
mdpbx,5,59
przrwmag,8,122
qzqiehhpbo,10,123
qkpybhmbx,9,118
mauckief,8,69
fmddk,5,38
nrjsuxa,7,107
pzwonvtw,8,159
gjqqigjcdo,10,99
inyhfakcjv,10,109
anoo,4,45
uxsaade,7,75
hwzp,4,73
vljuszw,7,133
ijpkttlf,8,104
wqhgcchs,8,88
txzh,4,78
zwayjy,6,110
ntho,4,57
hytri,5,80
tfiw,4,58
ere,3,28
wdwakgkzbx,10,132
dhbmh,5,35
ktclu,5,67
kpvogx,6,95
fjjmsux,7,103
uuxal,5,79
nbifz,5,57
pzzgkuw,7,130
vmqyzc,6,106
ulmuclfxmt,10,145
scsglldvjy,10,133
opdylamwd,9,113
wlxxcdlnj,9,126
rhnmmwwbfo,10,135
znkx,4,75
pojk,4,52
njhb,4,34
mqmgx,5,74
mwckc,5,53
amsagouiqn,10,117
vyu,3,68
jxg,3,41
fvtr,4,66
nyquyitum,9,165
qhkny,5,75
zzzqnhlu,8,150
fjxkhzj,7,95
ghoo,4,45
lcxemjoazz,10,135
eaoc,4,24
jryxxh,6,109
mcldju,6,63
jsuwjjhht,9,129
jxxa,4,59
vxtli,5,87
gbfi,4,24
icuh,4,41
zwqg,4,73
lnwnhhzbkd,10,122
dno,3,33
btf,3,28
vcpo,4,56
rgg,3,32
tjlmgltum,9,128
uabkckz,7,75
ilsljmuz,8,122
mpc,3,32
zylpbr,6,99
cnisfo,6,66
jjitrxz,7,117
ryixisn,7,118
gopbwq,6,80
dgxg,4,42
pfrcfzt,7,95
uicthroqb,9,113
xcqljpzn,8,122
oitlwv,6,101
zlb,3,40
kjgyon,6,82
oljajflhun,10,109
uxaicth,7,86
qxgq,4,65
rbwmzrxjtq,10,171
wep,3,44
miy,3,47
skerkryrb,9,127
rfmjlytgke,10,127
qenfk,5,53
qyxvyud,7,138
lodisvzlzz,10,171
oho,3,38
pjmtqvy,7,123
syntyjj,7,123
attrcxu,7,107
hmitmswouy,10,166
vgxfqbxcy,9,130
jfjzcvuoy,9,138
nkaehzzi,8,100
jvawtwnep,9,134
utmau,5,76
pltycvaxfd,10,133
uqdh,4,50
fsfjcgc,7,54
emsxjevas,9,118
hfshq,5,58
bmzanne,7,75
cxgdyrxgwb,10,137
whbhmq,6,71
fnkvvkzkwr,10,164
npnufjab,8,84
mndiqvb,7,81
mdnflmz,7,88
gfowyvhot,9,141
mpjahn,6,62
zpwm,4,78
jysuyvziem,10,175
lilrytt,7,116
nrlx,4,68
rhngr,5,65
rdxrux,6,109
dbbmv,5,43
cqexbnfusc,10,114
umjybphl,8,107
gjabtkeq,8,73
gjbuixfmo,9,107
cazsuaudxx,10,144
horyea,6,72
xwliitwbkw,10,156
egibaexowq,10,108
krdayse,7,83
lax,3,37
lmgtviorq,9,133
smjrowu,7,119
rkglggb,7,64
jrcneztwtn,10,153
uhaojmz,7,94
zxv,3,72
fmv,3,41
xaeq,4,47
nfvvk,5,75
ngeexchn,8,80
ghysaeuwl,9,121
bnykrq,6,87
dztkhwgwxh,10,154
bjxhgxwxh,9,130
tjorc,5,66
ybscjxnqtd,10,138
vnqkpsyfq,9,147
nmwjxrljv,9,146
dxhrjjf,7,80
eaeflppkdw,10,99
lntoj,5,71
etphzk,6,86
aeoiuxfvw,9,126
enp,3,35
nzzhdnjtnr,10,154
nlfqcaopl,9,96
lemeiictb,9,78
mytbbviz,8,119
ghuqyltr,8,128
tdtivn,6,89
aqyhnmo,7,93
srvipuqc,8,125
bprm,4,49
sjudqh,6,79
babmw,5,41
trjg,4,55
maty,4,59
lhlju,5,63
cltspctm,8,106
npprnkmka,9,114
ponnrsmgn,9,130
lfsycp,6,81
fuicmvix,8,107
xvwnyqbgjf,10,150
setuum,6,99
dmykzon,7,108
qls,3,48
afokjm,6,56
ozdcarkrg,9,103
hxywgfkvw,9,149
tcyiafp,7,80
smgypi,6,89
xcfevqy,7,102
rcpkgvg,7,84
zad,3,31
sdvdkhc,7,71
odapjm,6,59
iom,3,37
jewxbrkzj,9,129
wufjymrhb,9,126
yhdctrs,7,97
ipdnfiper,9,97
hpf,3,30
ybtvb,5,71
rzx,3,68
zrplmc,6,88
gfx,3,37
wsnf,4,62
osjrd,5,66
oecxu,5,68
wjsi,4,61
zavolqtd,8,117
gqerp,5,63
vfzfimrerw,10,146
ejwh,4,46
rcrhzu,6,94
ukxsgkyy,8,143
zen,3,45
yjxxvzpom,9,175
oiirkpt,7,98
wpfccd,6,55
sprf,4,59
cxctvhnhta,10,123
jawz,4,60
susz,4,85
mbkbfox,7,73
lzhaaa,6,49
wsliwkcx,8,124
spmhgojc,8,91
chmojs,6,68
vfabhmcr,8,73
vjmjzdltab,10,120
lupufnaur,9,130
qspmpimy,8,128
jxesvrdish,10,138
syazvmf,7,112
yvaaqzdjf,9,112
kyfern,6,79
ifbrbztkbp,10,112
xitljllty,9,144
fnukxswt,8,138
hwz,3,57
uheqoka,7,78
oesff,5,51
ziigvhv,7,103
vdrhkrvp,8,119
vgptcdepz,9,119
gekq,4,40
mwpbidtxse,10,135
dqvkufwro,9,137
lnouni,6,85
fvuqghizf,9,122
vcrbcf,6,54
qyarfawbv,9,115
nyrpd,5,77
geg,3,19
tjiipxqsjn,10,148
xlupljpje,9,126
qtoqycpo,8,128
rqgvk,5,75
ivcykk,6,81
plabn,5,45
xlvvu,5,101
hhhpbbr,7,62
acwvpbxfnl,10,123
whjnmrnwni,10,146
axjzg,5,68
kylu,4,69
sys,3,63
fofjfzsw,8,111
lmtwn,5,82
gorsr,5,77
xtnkfrgfam,10,120
zupq,4,80
fxchcfvali,10,94
jmpxkioza,9,125
kavligvo,8,99
axsdv,5,70
mejzyugkp,9,134
zgt,3,53
mwymdli,7,99
vjpaek,6,65
vhi,3,39
cpw,3,42
exlbs,5,62
fzpyae,6,79
dksbxl,6,72
xpzhfyw,7,128
cpqkxplgbz,10,134
xhzrs,5,95
lajard,6,46
ybzsacods,9,114
toeauc,6,65
kobfdji,7,57
qfcajdr,7,59
jsalc,5,45
kevehcc,7,57
idvgneukr,9,111
vyndwck,7,102
tzb,3,48
uhdfry,6,82
bidgp,5,38
xzi,3,59
fswx,4,72
rnw,3,55
abzqyjvaf,9,110
detmy,5,67
ene,3,24
sevvk,5,79
phlixvhn,8,113
iybncin,7,76
igwskot,7,104
bjkxzfrefi,10,117
zexdatg,7,87
orqmvejo,8,115
biyl,4,48
wbwbvghmrp,10,134
wekugfwy,8,121
ftwkq,5,77
qhnnhwheel,10,114
rqxkclgtf,9,118
mcuxlucsea,10,122
ktqscrm,7,101
fiwxu,5,83
ijul,4,52
fnxbuwlw,8,125
lkaopowy,8,118
kkbjyrqz,8,120
yjwezj,6,99
lmfpozl,7,100
lpkhfqoqew,10,130
qbjf,4,35
hfmvoss,7,102
dmknlyssje,10,132
tdwhajedj,9,85
cqtjdzfo,8,101
elfz,4,49
ajpjxu,6,82
srgv,4,66
ificywv,7,97
nwyojv,6,109
vimqp,5,77
zgkwjfryyc,10,154
dky,3,40
wtumwv,6,122
yfmpfjg,7,83
iskuhoy,7,108
bgpesr,6,67
pzqqtaiifi,10,130
ydqbwu,6,92
aemjva,6,52
jiyll,5,68
rpqmuwxcw,9,158
kdylu,5,73
kbzu,4,60
glhn,4,41
aehprortt,9,121
sfzvzypcj,9,153
mzrtyqr,7,137
melrmguf,8,95
nynfxn,6,97
hiiqchvc,8,79
yutdosqq,8,138
mtv,3,55
bzkkgaoj,8,83
prsrxde,7,104
gflhejthg,9,83
bzpc,4,47
qtenktmqhe,10,130
swmrmddv,8,116
ysmsi,5,85
oonsbhnnib,10,112
maj,3,24
gpbiqox,7,90
wrgjbdj,7,74
kifqw,5,66
vwrz,4,89
hhsmrga,7,74
qllbqt,6,80
mqbq,4,49
yirn,4,66
oyhije,6,72
mbtxs,5,78
mwppxojj,8,127
mzndqz,6,100
chywrrg,7,102
qgsv,4,65
tha,3,29
pbf,3,24
kpm,3,40
cnephmtm,8,92
erjq,4,50
mnf,3,33
erbmuyuocr,10,141
ngzmdepzj,9,121
hggd,4,26
lpsd,4,51
lqrcfgbuo,9,101
bjbxcrusw,9,122
luobrtsgu,9,135
rsr,3,55
tvcsqgbg,8,97
wkabpd,6,57
wey,3,53
otozz,5,102
omioeyfag,9,96
nmsjbizp,8,109
cwgz,4,59
ppkp,4,59
prks,4,64
ppxdcrzcf,9,116
pamurimk,8,102
snmc,4,49
encmdyv,7,86
nrn,3,46
phggbfq,7,63
iyyevw,6,109
asjytil,7,96
ocecc,5,29
mpifkjr,7,83
ogmg,4,42
zecx,4,58
udc,3,28
nsqcg,5,60
egker,5,46
ucmbuctat,9,104
bxdknvz,7,103
gbkxh,5,52
nfrsbntaw,9,117
ngr,3,39
vsbqfxzz,8,142
jdm,3,27
ragxefb,7,63
bcdr,4,27
wbqzbt,6,90
vawsvwjhix,10,161
vnjvbxicfk,10,123
kajcdmvycd,10,96
jrowlpdyh,9,131
utb,3,43
occuokfbn,9,90
suwcoys,7,125
cbkveb,6,45
mtnukmgar,9,118
czsgsboaw,9,115
woxvi,5,93
jmpbgwhu,8,100
nkyhaf,6,65
xaoaslpsf,9,113
yvtud,5,92
zbsdrlybxa,10,133
tkpy,4,72
hcnzwkpe,8,106
geexx,5,65
sfmwhwzqmz,10,174
joyadld,7,71
bssapgxhob,10,113
ahgiudsr,8,87
pmogjrvofr,10,140
nmctpxicqx,10,143
twhujoottu,10,173
vdh,3,34
ozb,3,43
oxmhtluwwu,10,180
phiabfpu,8,79
mbocelbn,8,66
kaslp,5,59
xaifdp,6,60
lrkfkp,6,74
vbstthpuj,9,138
douh,4,48
lefnrtk,7,86
wos,3,57
epgj,4,38
dezooimwx,9,134
hfd,3,18
fmnuy,5,79
ecoidwbxms,10,117
mlxywboh,8,122
zsv,3,67
pvarwc,6,83
tlg,3,39
yibgqjaa,8,72
xwlkroxvll,10,173
bdjneel,7,52
crec,4,29
kaxsdp,6,75
yxdntb,6,89
beioozxf,8,102
wybzmqnxk,9,155
teyyqtvgds,10,164
ywempnitdv,10,151
hyjlsian,8,98
mtmjhhfh,8,86
bozp,4,59
avcwpr,6,83
fbjs,4,37
ocngsfzpwl,10,141
oej,3,30
chhebdnsa,9,64
suhi,4,57
rmdzlnc,7,90
wkdkot,6,84
olbx,4,53
zmhp,4,63
nykqixhyh,9,141
npqhszkqk,9,139
roho,4,56
smqki,5,69
guhcdnu,7,78
yziey,5,90
xxgyvchrj,9,141
ucefim,6,57
uhimdu,6,76
ucyshicj,8,98
uuqu,4,80
zhzwyyn,7,147
jbdufokeb,9,76
gwwjgih,7,87
aise,4,34
waslhdw,7,90
klual,5,57
objguozg,8,103
cocpgk,6,55
drge,4,34
pyaeex,6,76
yfrjasv,7,101
dvhnnmd,7,79
dizn,4,53
fiyndp,6,74
rkvs,4,70
grrtljd,7,89
nfzvbxdo,8,113
qdvdplnao,9,105
abiezv,6,65
exczrjbr,8,106
dkzpjgplls,10,133
dgdmolxcvz,10,130
rwdqoqqfl,9,129
jsxyqnw,7,132
rhvruy,6,112
dpiglevut,9,116
heotls,6,79
aumh,4,43
xkg,3,42
pogfogxdr,9,112
kbcefjs,7,56
grlyv,5,84
puklcqdwg,9,114
sipyb,5,71
nvhjbhx,7,88
tzyt,4,91
ynwajqytj,9,145
yhbh,4,43
pnhpdrg,7,83
tacpj,5,50
prdoxlqdj,9,120
kdqiclgkwl,10,109
cswxv,5,91
dqtnjzc,7,94
dvgkuqj,7,92
gazu,4,55
kuoxe,5,76
ngf,3,27
txrbrz,6,108
toq,3,52
ivqizmqfd,9,123
zmpyg,5,87
clkhqvq,7,90
zkqfmzq,7,116
qctjqhlsm,9,119
jwccyuzq,8,128
vyhum,5,89
nvauvoes,8,119
bezgxy,6,89
exi,3,38
mthwx,5,88
ymtbexj,7,99
eleqe,5,44
ysnskt,6,108
sfrwfzsbct,10,142
fgmbhjax,8,71
joweuwxi,8,130
fzgbisivth,10,128
wwww,4,92
zmddsi,6,75
tet,3,45
xbiuumarg,9,116
edpu,4,46
oen,3,34
geokpwzh,8,111
byvqtpsjg,9,138
yumdsnbb,8,100
zextlywk,8,146
vfu,3,49
lciixrq,7,92
chw,3,34
zgapirwwz,9,149
cwha,4,35
pxtwg,5,90
xiudepiww,9,134
tvvxm,5,101
vhdjrpzno,9,133
yrfjvkea,8,98
fytwui,6,104
knqi,4,51
xzis,4,78
cwqbucym,8,107
udtjgz,6,88
jhh,3,26
bsmjd,5,48
mmaqoea,7,65
ibkupzu,7,106
qte,3,42
xzehby,6,90
ysebwcvw,8,122
urrjr,5,85
pqdolp,6,80
obkbm,5,43
blcsar,6,55
qjilgoxoll,10,133
etm,3,38
qle,3,34
gixmiy,6,87
wrcksk,6,85
bupjcm,6,65
rkrjs,5,76
olbvzp,6,93
eilpvcxpt,9,127
playfymdr,9,120
gkryyfyo,8,132
fywtcspwok,10,161
zkeuqi,6,89
bvxsbimsaf,10,117
bpazdz,6,75
ajxzia,6,71
mhyymt,6,104
uacnb,5,41
uwotdyoq,8,140
xymoeh,6,90
qpwke,5,72
bsozt,5,82
wxs,3,66
vlseksx,7,112
dmnczebpsn,10,116
qjez,4,58
nlcnpnrcop,10,125
sfyfiqvw,8,127
axjzfhz,7,101
rcgrvbyl,8,107
qlbxpq,6,88
bhzxzeprzs,10,170
pvekf,5,60
yucghjl,7,86
tbcgmhdkfw,10,97
eid,3,18
ekpovxlqtk,10,153
pst,3,55
komzv,5,87
itosllvqm,9,139
axgewcmb,8,78
zevijkwvy,9,153
hjvvmsmuo,9,143
dmis,4,45
qtzavqennn,10,150
vaxbb,5,51
grryoql,7,112
yihfghdjw,9,100
krmxyevgge,10,137
mzqwtkqr,8,145
yqrrsr,6,115
sndes,5,61
jghkc,5,39
chhb,4,21
xmnpgg,6,81
zveytq,6,115
exuzxyg,7,132
sputjvvem,9,148
gxy,3,56
zwknuabv,8,120
req,3,40
euasdunew,9,113
ctnyrdejb,9,101
xdaimo,6,66
wiuctem,7,94
phcmw,5,63
semlamnucj,10,111
vewrk,5,79
lzjeg,5,60
rdkvvpgnwi,10,146
qfuojri,7,96
hysn,4,66
nbcylng,7,77
pxlnbsctdm,10,127
titjhe,6,72
ovn,3,51
ewxeywbu,8,128
nzchbjr,7,81
jixxwr,6,108
yef,3,36
ivtgen,6,77
zgx,3,57
pswoitmfxs,10,164
dhfulw,6,74
sevdvyh,7,105
kyfqjvkdij,10,125
oeccea,6,32
vgpk,4,56
rfsowa,6,82
vwez,4,76
oebjxfuu,8,104
kayldkvmb,9,101
ywkh,4,67
gnjf,4,37
fvccsvvo,8,112
tvct,4,65
ebqwyj,6,82
swyg,4,74
tnkjrdam,8,91
ydjhz,5,73
yfnc,4,48
qxd,3,45
ztsbyt,6,112
css,3,41
cqvfbjiqm,9,99
uemvs,5,80
zch,3,37
ydlwfqxk,8,122
tryghbmgk,9,111
osetkhz,7,104
kly,3,48
efmuzc,6,74
plqabpoi,8,88
hywywqz,7,147
waeylsxke,9,125
iqos,4,60
iaomdvauwv,10,131
cbv,3,27
nuyfpvt,7,124
qzsbpjnlf,9,122
ztlvbqhf,8,113
sobkwj,6,80
hqfwdwyuf,9,133
ouwk,4,70
chgos,5,52
eriwe,5,60
yiio,4,58
hhwpkxbv,8,114
tlmimmnou,9,130
jpjepj,6,67
vvrd,4,66
qfg,3,30
znqp,4,73
rzo,3,59
vzalcltqe,9,118
zoflyftzgu,10,164
dychhzjr,8,102
iovkjph,7,91
lhdcebd,7,38
tkqk,4,59
aokxnm,6,78
zvbmfeftai,10,110
oiimqbfng,9,92
ayo,3,41
owhdekqp,8,99
xvk,3,57
ourutpj,7,121
ovm,3,50
fvbghq,6,62
isau,4,50
ysyrwv,6,132
fgce,4,21
loslip,6,83
kfeyd,5,51
pcclxniu,8,102
ryc,3,46
rqjdgmopa,9,101
ztt,3,66
unvxhuqymv,10,187
wkskkqxqe,9,138
bzujuybi,8,116
mgq,3,37
cjdkh,5,36
brdsiu,6,73
maeb,4,21
gtgoqtaqf,9,110
gaquqgddt,9,98
omoyatvr,8,129
addioe,6,38
ikulgm,6,73
dfdo,4,29
kigpdutoay,10,129
neizjupyzc,10,155
mgjnumyopt,10,154
tdhwozd,7,100
lihmagii,8,68
aebwaj,6,42
sgiuj,5,66
tge,3,32
iyxc,4,61
hwcmxgfss,9,122
urpv,4,77
khlzody,7,101
gydq,4,53
ycn,3,42
soxszdqz,8,150
ome,3,33
ncrnmr,6,80
fxut,4,71
rbxxonnoc,9,129
cwgsv,5,74
hoc,3,26
twygoetyaf,10,147
klpjvctll,9,118
diantcvtbq,10,112
tlyy,4,82
nyahirg,7,82
fhaxkli,7,71
bti,3,31
nejx,4,53
nkxw,4,72
quz,3,64
ffvfklul,8,96
dhlbtozvzw,10,158
ebnmjiafey,10,90
cxtxsyqyje,10,172
efodqid,7,60
ntczbdmhwn,10,127
icaizscz,8,96
xwgaeuibx,9,116
ymyty,5,108
amlv,4,48
jtzssyk,7,130
eeodk,5,40
qgt,3,44
nvqtff,6,85
eyzwuifog,9,137
xcaqitjylu,10,142
msfzvuuqh,9,153
ylzpltzcp,9,156
vemlljai,8,84
yhaqoork,8,110
xqcq,4,61
unobmumwm,9,135
wnipxeujfi,10,137
ikfifiz,7,76
utqolyhjmj,10,151
iou,3,45
mcqwfljm,8,97
wxgyn,5,93
hmygi,5,62
arizchbqt,9,104
cvcmi,5,50
plq,3,45
smuqfump,8,126
orpow,5,87
hwx,3,55
ploie,5,57
rmbvyzlw,8,141
ewblz,5,68
yqrdoj,6,89
dedvezkc,8,80
tkt,3,51
cejgd,5,29
zrokaoozb,9,129
chxsfqfyn,9,122
yjgegrpvz,9,136
xsdzohzzt,9,168
kmfec,5,38
fkzl,4,55
gmop,4,51
xysnhzyi,8,150
spppxylq,8,145
vzo,3,63
nuciqmzxu,9,148
uua,3,43
gdqshxbqh,9,106
iwzrtu,6,117
qgueht,6,78
ctzkn,5,74
djfbhno,7,59
wxlsleqeuq,10,155
oxaxli,6,85
gvlm,4,54
naxaz,5,66
jilfi,5,46
qbvzwmq,7,120
vjzznj,6,108
uveikhuftf,10,129
uvtovvdx,8,150
pfee,4,32
jfiofjp,7,72
